Файл	C:\Documents and Settings\Center\Рабочий стол\Изгиб_08.11.22\Иост_1.rez
Вид испытания	сжатие	1
Дата	8 Ноябрь 2022 г.	12:49:49
Скорость [мм/мин]	 1.0
Форма	Круглый	0
Начальные размеры: [мм]
Диаметр	Толщина	Ширина	Длина	База
10.00			50.00	40.00
Размеры после испытания: [мм]

Количество точек	2415

Время [с]	Перемещение [мм]	Усилие [Н]
60.60	1.996	1.5700E+0
60.70	1.999	1.5800E+0
60.80	2.003	1.5800E+0
60.90	2.006	1.5800E+0
61.00	2.009	1.5800E+0
61.10	2.012	1.5800E+0
61.20	2.015	1.5800E+0
61.30	2.019	1.5800E+0
61.40	2.022	1.5800E+0
61.50	2.025	1.5800E+0
61.60	2.028	1.5800E+0
61.70	2.031	1.5800E+0
61.80	2.035	1.5800E+0
61.90	2.038	1.5700E+0
62.00	2.041	1.5700E+0
62.10	2.044	1.5700E+0
62.20	2.047	1.5700E+0
62.30	2.051	1.5700E+0
62.40	2.054	1.5800E+0
62.50	2.057	1.5800E+0
62.60	2.060	1.5800E+0
62.70	2.063	1.5800E+0
62.80	2.067	1.5800E+0
62.90	2.070	1.5700E+0
63.00	2.073	1.5900E+0
63.10	2.076	1.5800E+0
63.20	2.080	1.5800E+0
63.30	2.083	1.5800E+0
63.40	2.086	1.5900E+0
63.50	2.090	1.5900E+0
63.60	2.093	1.5800E+0
63.70	2.096	1.5800E+0
63.80	2.099	1.5700E+0
63.90	2.103	1.5800E+0
64.00	2.106	1.5700E+0
64.10	2.109	1.5800E+0
64.20	2.112	1.5900E+0
64.30	2.116	1.5900E+0
64.40	2.119	1.5800E+0
64.50	2.122	1.5900E+0
64.60	2.126	1.5800E+0
64.70	2.129	1.5800E+0
64.80	2.132	1.5900E+0
64.90	2.135	1.5700E+0
65.00	2.139	1.5800E+0
65.10	2.142	1.5800E+0
65.20	2.145	1.5800E+0
65.30	2.148	1.5800E+0
65.40	2.152	1.5700E+0
65.50	2.155	1.5800E+0
65.60	2.158	1.5900E+0
65.70	2.161	1.5800E+0
65.80	2.165	1.5700E+0
65.90	2.168	1.5800E+0
66.00	2.171	1.5800E+0
66.10	2.174	1.5900E+0
66.20	2.178	1.5900E+0
66.30	2.181	1.5800E+0
66.40	2.184	1.5800E+0
66.50	2.187	1.5800E+0
66.60	2.190	1.5700E+0
